country_id,region,gov_effectiveness,fdi_pct_gdp
C001,ECA,0.521,5.173
C002,ECA,-1.08,0.314
C003,MENA,0.139,3.083
C004,ECA,-0.085,5.203
C005,LAC,-0.667,3.315
C006,ECA,-2.516,0.234
C007,MENA,-0.735,2.801
C008,MENA,-1.02,-0.945
C009,LAC,0.114,2.196
C010,MENA,-0.474,-0.827
C011,EAP,-0.408,3.892
C012,LAC,-0.73,5.065
C013,MENA,-0.221,-1.318
C014,LAC,-0.226,2.925
C015,EAP,-2.547,-0.867
C016,ECA,1.347,5.481
C017,LAC,0.616,2.43
C018,ECA,0.218,1.123
C019,ECA,-0.805,4.715
C020,ECA,0.69,4.118
C021,EAP,-0.329,5.472
C022,MENA,-0.165,1.228
C023,SSA,-1.392,3.495
C024,LAC,1.466,7.626
C025,NAM,0.048,3.365
C026,EAP,1.908,10.117
C027,LAC,1.731,5.916
C028,ECA,0.058,2.414
C029,ECA,0.645,4.538
C030,LAC,1.726,6.573
C031,SAS,-0.529,1.718
C032,EAP,0.166,3.092
C033,SSA,-0.255,0.52
C034,ECA,0.333,6.294
C035,ECA,0.182,1.485
C036,EAP,1.165,3.746
C037,ECA,0.593,2.28
C038,EAP,-0.892,5.475
C039,LAC,0.577,5.805
C040,ECA,-0.825,2.971
C041,SSA,-1.157,-4.155
C042,SSA,0.778,3.884
C043,EAP,-1.204,3.566
C044,ECA,0.307,7.318
C045,SSA,-0.834,-3.579
C046,ECA,1.418,0.337
C047,ECA,0.712,1.274
C048,SSA,-0.402,-1.078
C049,SSA,0.799,6.722
C050,EAP,0.426,5.232
C051,SAS,-1.17,5.185
C052,LAC,-0.206,3.254
C053,SSA,-0.931,0.384
C054,EAP,0.449,8.175
C055,ECA,-0.645,3.785
C056,ECA,-0.231,4.475
C057,SSA,-1.236,3.284
C058,ECA,-0.961,0.647
C059,SAS,0.134,4.39
C060,SSA,-0.999,3.811
C061,ECA,-0.141,-1.978
C062,ECA,0.167,3.59
C063,EAP,-0.199,0.605
C064,SSA,-0.291,0.336
C065,ECA,-1.734,-2.383
C066,SSA,-0.273,3.531
C067,SSA,-1.8,-0.623
C068,SSA,1.153,2.825
C069,SSA,-1.003,2.56
C070,EAP,0.148,4.727
C071,EAP,0.519,5.476
C072,SSA,0.005,4.115
C073,EAP,1.347,9.073
C074,SSA,-0.847,-0.262
C075,MENA,0.443,2.634
C076,SSA,-0.977,2.988
C077,MENA,2.124,9.166
C078,SSA,0.688,7.416
C079,NAM,-0.343,2.45
C080,ECA,0.785,6.361
C081,LAC,-1.156,3.582
C082,SSA,1.509,4.605
C083,ECA,-1.155,5.18
C084,ECA,-1.557,-1.894
C085,SSA,-0.055,-1.001
C086,LAC,0.849,4.673
C087,ECA,-0.011,3.687
C088,LAC,-0.76,-0.105
C089,SSA,1.176,3.128
C090,ECA,2.414,6.592
C091,MENA,-1.959,1.892
C092,LAC,1.474,1.043
C093,ECA,-0.475,-3.024
C094,EAP,0.981,2.033
C095,ECA,-1.824,2.049
C096,SSA,-0.261,4.89
C097,EAP,-0.959,-0.92
C098,EAP,-0.49,2.286
C099,EAP,-1.077,2.496
C100,MENA,0.369,5.189
C101,SSA,1.216,7.084
C102,MENA,-0.494,2.656
C103,EAP,-0.228,3.538
C104,ECA,-1.112,-2.735
C105,EAP,0.996,10.578
C106,SSA,0.562,3.918
C107,LAC,-1.564,1.145
C108,ECA,1.481,2.907
C109,ECA,-1.169,-0.168
C110,LAC,-1.052,2.881
C111,EAP,-1.472,0.475
C112,SSA,-1.193,1.349
C113,ECA,-0.348,-0.796
C114,SSA,0.533,5.549
C115,EAP,-0.711,0.429
C116,MENA,-0.199,-1.369
C117,LAC,-0.281,4.165
C118,ECA,1.171,5.698
C119,SAS,2.289,6.172
C120,EAP,-1.069,1.643
C121,LAC,1.906,2.556
C122,LAC,2.132,12.874
C123,LAC,0.231,-2.216
C124,SSA,0.897,5.901
C125,MENA,-1.739,-1.02
C126,MENA,0.469,1.233
C127,EAP,-0.544,2.883
C128,LAC,-0.165,1.835
C129,LAC,0.552,8.173
C130,EAP,1.033,2.612
C131,LAC,-0.046,6.445
C132,LAC,2.639,10.123
C133,LAC,0.589,1.796
C134,EAP,-0.202,2.3
C135,ECA,0.442,1.854
C136,SSA,-0.1,-2.013
C137,MENA,-1.093,5.676
C138,MENA,0.503,8.179
C139,SSA,0.949,5.544
C140,MENA,0.383,0.452
C141,SSA,0.372,5.263
C142,EAP,0.157,1.062
C143,EAP,0.848,6.474
C144,ECA,-1.283,2.675
C145,SSA,1.158,6.106
C146,ECA,-0.909,1.118
C147,SSA,0.335,6.594
C148,EAP,0.776,7.507
C149,MENA,0.237,4.752
C150,LAC,-1.56,-0.387
C151,ECA,0.024,5.594
C152,LAC,0.335,4.404
C153,SSA,0.989,8.898
