person_id,gender,education,income
P001,1,14.9,33.9
P002,1,12.9,33.3
P003,0,7.7,33.6
P004,0,9.1,41.4
P005,1,16.1,41
P006,0,7.9,41.5
P007,0,13.3,52.9
P008,1,15.2,28.9
P009,0,7.6,42.7
P010,1,14.9,32.2
P011,0,7.8,32.3
P012,1,11.8,31.7
P013,0,9,43.1
P014,1,15.9,33.1
P015,0,8.8,44
P016,0,8.7,33.1
P017,1,14.3,44
P018,0,9.7,32.6
P019,0,5.4,37.4
P020,0,10.3,44.5
P021,0,6.2,31.5
P022,0,8.7,44.1
P023,0,9.6,42.2
P024,0,8.5,49.6
P025,0,4.9,29.3
P026,0,8,47.7
P027,0,8.7,45.2
P028,0,10,39.7
P029,0,9,42
P030,1,15.2,30.9
P031,1,16.3,27.6
P032,0,6.6,47.7
P033,1,12.8,38.4
P034,0,8,41.7
P035,1,14.7,27.3
P036,0,10.8,49.2
P037,0,6.3,32.7
P038,0,6.3,40.6
P039,1,15.5,40.3
P040,0,7.2,40.3
P041,0,7.6,39.9
P042,1,15.2,40.8
P043,0,6.8,44
P044,0,6.6,40.3
P045,0,7.5,39.4
P046,0,7.2,44.1
P047,1,12.6,31.2
P048,0,9.8,51.8
P049,1,13,24.6
P050,0,8.1,40.8
P051,1,14.3,39.1
P052,1,10.3,22.1
P053,1,14.7,25.8
P054,1,17,41.8
P055,1,14,30
P056,1,12.4,27.4
P057,1,16.6,42
P058,0,8.5,52.6
P059,1,16,37.2
P060,0,8.4,46.5
P061,0,9.2,32.8
P062,1,16.9,39.3
P063,1,15.3,26.9
P064,0,8.8,34.1
P065,0,6.7,45.4
P066,0,9.2,46.9
P067,1,13.2,34.3
P068,0,12.4,47.1
P069,1,14.7,28
P070,1,12.4,31.9
P071,1,17.3,34
P072,0,7.1,51.3
P073,1,10.8,27
P074,1,11.9,30.4
P075,0,8.1,33.3
P076,1,13.1,33.8
P077,1,14.9,40.5
P078,1,13.5,33.6
P079,0,4.3,33.9
P080,1,13.4,39.6
P081,0,11.5,51.6
P082,1,13.1,34.4
P083,1,12.8,35.9
P084,1,13.8,34.3
P085,0,11.3,63.3
P086,1,12.3,31.3
P087,1,15.6,41.6
P088,1,12.8,35.2
P089,0,7.3,43.2
P090,0,7.3,44.9
P091,1,15.6,38
P092,1,15.2,25.7
P093,1,16.2,33.4
P094,0,10.1,56.9
P095,0,12.3,59.2
P096,0,8.1,40.7
P097,1,8.9,10.2
P098,0,6.9,35
P099,1,12.4,22.3
P100,0,7.4,31.4
P101,0,10.3,50.4
P102,1,12.9,31.4
P103,0,6.4,45
P104,0,9,36.4
P105,0,9.4,38.8
P106,0,7.5,43.2
P107,1,14.8,40.4
P108,1,15,34.1
P109,0,8.7,37.6
P110,1,12.9,40.1
P111,0,9.5,52.4
P112,1,9.5,29.3
P113,0,9.2,47.5
P114,0,8.8,36.6
P115,0,12.1,39.1
P116,0,8.5,52.6
P117,1,14.2,34.9
P118,0,10.4,41.7
P119,0,9.5,51.6
