region_id,funds,governance,growth
R001,2.42,0.05,4.17
R002,5.52,0.22,2.68
R003,1.45,0.81,1.12
R004,3.94,-0.59,1.56
R005,8.43,0.43,5.11
R006,4.83,-0.7,-0.82
R007,3.37,0.59,-0.25
R008,5.63,0.3,4.39
R009,3.82,-0.02,1.32
R010,3.24,-0.47,0
R011,3.93,0.42,4.67
R012,2.27,-0.18,0.96
R013,1.67,-0.26,-0.17
R014,4.26,-0.53,-0.34
R015,3.64,0.21,1.04
R016,4.88,0.89,6.75
R017,8.83,-1.72,-1.57
R018,0.88,0.79,3.42
R019,1.77,0.81,2.35
R020,0.6,-0.48,-1.22
R021,3.71,-1.78,0.92
R022,8.47,-0.43,4.99
R023,3.02,-0.62,2.32
R024,4.63,-0.19,2.82
R025,1.59,-0.17,2.33
R026,14.83,-2.35,-9.9
R027,10.07,-0.35,3.92
R028,2.76,0.6,3.05
R029,3.58,-0.41,1.21
R030,2.78,-0.09,4.35
R031,0.76,0.09,3.45
R032,0.87,1.4,4.5
R033,2.44,0.37,1.63
R034,0.41,0.3,-0.19
R035,3.41,0.65,5.16
R036,5.99,-1.13,1.64
R037,1.89,-0.48,-0.3
R038,3.79,-1.62,0.87
R039,1.21,1.29,2.86
R040,4.59,0.28,3.99
R041,1.55,-0.65,-0.98
R042,8.08,-0.14,5.23
R043,3.84,-0.26,2.44
R044,0.87,0.54,3.11
R045,1.45,1.04,3.14
R046,4.37,-0.52,-0.84
R047,3.56,1.11,2.19
R048,1.63,1.03,5.52
R049,0.57,-0.48,3.32
R050,4.89,-1.65,-3.12
R051,3.64,-1.84,0.34
R052,0.99,-0.05,1.18
R053,6.98,-0.06,3.4
R054,2.21,0.52,5.44
R055,2.13,0.02,0.61
R056,2.75,-1.02,0.71
R057,3.39,0.08,5.93
R058,3.1,1.41,5.46
R059,1.61,-1.34,0.3
R060,1.05,-0.98,1.19
R061,2.35,-0.8,0.05
R062,1.44,1.82,4.55
R063,7.13,-1.17,-0.94
R064,0.89,0.24,3.78
R065,2.41,1.29,3.32
R066,1.36,-0.01,2.34
R067,0.52,-0.27,-1.34
R068,2.58,-0.65,0.83
R069,1.22,0.34,1.18
R070,1.65,1.29,4.5
R071,8.43,-2.54,-6.35
R072,2.73,2.02,6.5
R073,2.54,-0.12,0.18
R074,0.28,1.86,2.23
R075,4.2,-0.42,2.02
R076,1.53,0.05,2.83
R077,6.95,0.33,4.91
R078,4.18,-0.75,2.24
R079,2.95,1.49,5.56
R080,1.37,0.07,3.71
R081,1.2,-0.3,1.87
R082,2.25,0.93,6.36
R083,4.44,0.05,4.23
R084,0.8,0.09,2.43
R085,11.47,1.31,14.27
R086,6.15,-0.58,1.13
R087,0.31,-1.04,0.44
R088,1.84,1.2,4.45
R089,3.96,-0.94,1.84
R090,7.04,2.2,10.65
R091,1.93,1.19,4.27
R092,0.83,-0.31,0.62
R093,7.08,-2.06,-3.61
R094,3.34,0.74,5.18
R095,1.21,-0.46,1.42
R096,14.01,-0.13,6.17
R097,3.49,-0.35,1.79
R098,6.37,-0.26,1.01
R099,1.07,0.87,4.21
R100,2.54,-0.13,0.41
R101,4.39,-1.35,-1.28
R102,0.78,-1.06,0.93
R103,0.23,1.06,1.16
R104,1.07,1.1,3.63
R105,4.97,-0.58,1.87
R106,4.34,-0.01,4.08
R107,5.45,-1.76,-0.41
R108,6.99,-1.24,-0.87
R109,2.48,-0.57,2.65
R110,1.92,0.16,2.02
R111,6.44,-0.39,1.95
R112,0.36,1.25,3.59
R113,0.61,1.69,2.61
R114,0.63,-1.73,0.81
R115,1.67,-0.33,2.38
R116,0.83,1.48,4.26
R117,1.4,1.22,2.66
R118,1.2,0.11,2.11
R119,4.17,-0.42,2.23
R120,6.63,-0.07,3.52
R121,1.79,0.17,4.66
R122,0.86,-0.81,2.39
R123,2.38,-0.82,-0.92
R124,2.22,-1.15,0.09
R125,3.27,-0.82,2.08
R126,0.21,0.09,0.3
R127,3.86,0.93,3.73
R128,0.96,-0.15,1.61
R129,1.84,1.25,5.42
R130,3.32,0.12,4.28
R131,1.16,0.49,2.84
R132,3.82,0.1,4.99
R133,1.02,1.65,2.09
R134,3.86,1.19,6.61
R135,7.49,0.04,4.71
R136,4.43,-0.35,2.64
R137,4.45,0.62,2.99
R138,6.67,-2.71,-3.58
R139,1.48,-0.47,2.27
R140,3.23,-0.77,-1.24
R141,3,-0.16,2.08
R142,2.38,0.39,2.71
R143,2.05,-0.33,0.94
R144,5.23,-1.15,1.56
R145,1.76,2.13,3.97
R146,2.46,-1.47,0.22
R147,2.9,0.62,2.65
R148,4.33,-1.01,-1.63
R149,1,0.46,4.23
R150,0.84,0.21,0.41
R151,1.72,0.46,2.72
R152,1.3,-1.3,0.09
R153,3.26,0.46,4.02
R154,1.87,2.41,6.57
R155,1.58,0.65,2.06
R156,0.59,-0.09,-0.03
R157,2.25,-0.69,2.62
R158,8.43,0.07,5.72
R159,2.01,0.71,2.1
R160,9.66,-1.47,-1.33
R161,6.1,0.05,4.59
R162,1.04,1.13,4.81
R163,3.09,0.88,2.89
R164,1.71,0.94,2.38
R165,5.08,2.47,6.81
R166,1.69,0.47,2.77
R167,1.48,0.38,1.6
R168,3.29,-1.16,0.82
R169,1.22,1.52,2.11
R170,6.61,-0.73,1.65
