LeaveVote;edlevel;gender;age;hhincome;econPersonalRetro1;EuropeanIdentity;EnglishIdentity;BritishIdentity;female
1;4;2;64;6;3;4;5;4;1
1;3;2;78;1;3;2;4;4;1
1;2;1;51;6;5;1;1;4;0
1;2;1;59;4;3;1;1;4;0
1;4;1;68;4;4;4;6;6;0
0;4;1;53;5;2;6;1;7;0
1;4;1;52;6;3;1;6;6;0
1;4;2;70;6;3;6;7;7;1
1;4;1;39;6;4;1;7;7;0
0;5;2;73;4;4;7;4;5;1
1;1;1;56;1;2;4;7;7;0
1;3;1;65;4;2;1;7;4;0
0;3;1;53;5;3;4;3;6;0
0;3;2;59;2;2;5;7;5;1
1;3;2;50;2;2;1;7;7;1
1;2;2;81;5;2;1;7;5;1
1;4;1;55;1;2;1;7;7;0
1;2;1;65;2;3;3;7;6;0
0;5;1;45;4;4;7;4;4;0
1;2;2;75;4;2;2;7;7;1
1;2;1;36;4;3;1;7;1;0
0;4;2;43;7;4;5;1;1;1
1;4;2;68;6;2;1;7;6;1
1;4;1;61;7;3;1;7;7;0
0;4;2;76;2;3;4;7;7;1
0;4;1;56;4;4;7;1;7;0
0;3;1;71;2;3;7;7;7;0
1;4;2;34;5;4;1;4;4;1
0;4;2;37;2;1;4;5;6;1
1;5;1;62;8;3;4;7;7;0
0;3;1;50;5;2;1;7;4;0
0;5;1;69;3;2;6;5;5;0
1;4;1;48;8;4;6;7;5;0
0;3;2;54;6;3;6;3;6;1
0;5;1;42;5;2;7;1;1;0
1;2;2;78;4;2;1;6;6;1
0;3;1;68;7;4;2;7;7;0
1;1;2;57;4;3;1;7;7;1
0;2;2;64;4;3;4;7;7;1
0;4;1;59;2;2;7;4;4;0
0;4;1;70;4;5;5;7;7;0
0;2;1;68;6;3;5;7;7;0
1;2;1;53;2;3;1;1;7;0
1;4;2;60;4;1;4;6;6;1
1;2;2;48;5;2;2;7;7;1
1;2;1;71;4;2;1;1;7;0
0;3;1;63;3;3;4;7;7;0
1;2;1;78;4;3;4;7;7;0
1;0;1;65;3;3;4;7;7;0
1;4;1;53;3;3;2;7;6;0
1;2;1;64;5;2;2;6;6;0
0;4;2;71;4;4;5;4;4;1
0;4;2;38;4;4;3;1;5;1
1;3;2;70;4;2;1;4;7;1
1;3;1;52;4;3;1;5;7;0
1;3;2;36;1;3;3;7;3;1
0;4;1;62;7;2;7;1;4;0
0;5;1;37;7;1;3;5;7;0
0;4;1;52;2;1;7;4;4;0
1;4;2;59;2;3;1;7;7;1
0;2;1;57;2;1;5;5;5;0
0;3;1;76;5;3;6;7;7;0
1;5;1;65;7;2;6;2;6;0
0;4;1;57;6;5;6;1;7;0
0;4;1;67;2;3;5;4;5;0
1;5;1;35;4;3;1;1;7;0
1;2;2;64;1;3;3;7;7;1
1;0;1;79;1;4;3;7;7;0
1;1;1;50;4;4;1;7;7;0
1;3;2;49;5;2;1;6;6;1
1;0;1;64;1;3;2;7;7;0
0;2;1;54;4;3;5;4;4;0
0;3;1;38;1;3;3;7;7;0
0;3;2;46;6;2;4;5;5;1
0;4;2;48;8;3;3;4;5;1
1;4;2;64;2;4;3;7;7;1
0;2;1;78;2;3;5;6;6;0
0;4;1;53;7;5;7;2;7;0
0;4;2;52;4;3;3;1;6;1
0;4;2;69;4;3;4;4;4;1
1;3;2;67;2;3;3;4;7;1
1;2;1;63;2;2;1;7;6;0
1;2;2;68;3;3;1;7;7;1
0;3;1;74;4;3;5;6;5;0
0;4;1;64;3;3;5;6;5;0
0;5;2;39;7;4;4;7;5;1
1;4;2;70;1;4;2;7;7;1
0;4;1;72;4;2;5;4;6;0
1;3;2;69;2;4;1;7;7;1
0;2;1;54;2;3;2;3;4;0
1;0;1;79;3;2;2;7;7;0
0;4;1;48;4;3;6;1;6;0
1;2;2;59;2;2;1;4;4;1
1;2;1;54;4;2;1;7;1;0
0;4;2;64;4;2;7;4;4;1
0;5;1;45;4;4;7;7;7;0
0;2;1;64;7;3;5;6;6;0
1;2;2;57;1;3;3;7;5;1
1;2;2;58;4;3;2;1;7;1
1;2;1;58;3;3;3;4;7;0
0;4;2;48;2;3;6;6;6;1
0;4;1;48;3;4;3;7;6;0
0;4;1;43;7;3;4;5;5;0
1;2;1;50;6;3;4;7;7;0
1;4;1;57;6;3;2;6;6;0
1;4;2;64;5;3;5;6;6;1
1;4;1;52;7;5;4;6;7;0
0;4;2;63;4;3;3;7;7;1
0;0;2;58;1;2;5;1;4;1
1;2;2;45;2;2;5;6;6;1
1;5;1;36;7;1;2;3;4;0
1;0;2;69;4;3;3;7;7;1
0;3;1;60;2;3;7;1;7;0
1;2;2;52;2;3;4;1;6;1
0;2;2;63;3;2;6;3;6;1
0;4;2;55;2;3;5;3;7;1
1;3;2;38;3;3;1;6;6;1
0;4;1;45;2;2;5;7;7;0
1;3;1;74;4;3;4;7;7;0
1;2;2;50;3;3;1;7;1;1
0;3;2;58;5;4;6;7;7;1
1;2;2;68;2;3;1;7;6;1
0;3;2;54;6;2;4;5;5;1
1;2;1;69;5;4;1;7;7;0
1;3;2;76;1;3;1;7;7;1
0;4;2;34;4;4;5;4;3;1
1;3;1;70;3;3;5;1;7;0
0;4;2;59;5;3;4;4;4;1
0;0;1;72;4;3;4;5;5;0
1;4;1;58;7;3;4;7;7;0
0;4;2;55;4;5;5;6;6;1
0;3;1;80;3;3;5;5;5;0
1;4;2;72;7;3;3;7;4;1
1;5;1;73;4;3;5;4;5;0
0;4;1;66;6;4;4;7;5;0
1;4;1;61;5;2;2;7;7;0
1;3;2;48;6;3;5;7;6;1
1;3;1;60;5;3;2;7;6;0
1;2;1;74;4;3;4;7;5;0
1;2;1;47;4;4;1;4;6;0
0;5;1;33;4;5;7;1;5;0
0;3;2;65;4;3;6;6;6;1
1;2;2;46;3;3;1;1;7;1
0;5;1;60;7;3;5;3;4;0
0;4;2;65;6;3;6;6;6;1
0;2;1;53;6;3;6;1;7;0
0;4;1;76;5;2;6;4;7;0
0;4;1;38;7;3;7;7;7;0
0;4;1;69;5;3;1;1;7;0
1;0;1;70;4;4;4;6;7;0
0;2;1;76;2;4;5;7;7;0
1;5;1;72;4;2;1;7;7;0
0;4;1;40;7;3;4;4;4;0
1;2;1;67;3;3;4;5;6;0
1;3;2;57;3;2;1;7;6;1
1;1;1;48;3;1;1;7;1;0
0;3;1;54;7;3;6;6;6;0
0;3;1;33;6;2;3;3;3;0
1;3;2;59;4;2;1;7;7;1
0;4;2;73;4;3;4;6;7;1
0;1;2;75;2;4;3;7;7;1
0;4;1;54;6;5;7;5;4;0
0;4;1;61;4;3;5;4;3;0
1;4;1;52;1;4;2;7;6;0
0;3;2;54;3;4;7;7;7;1
1;2;2;66;4;3;3;7;7;1
0;5;2;64;5;2;7;7;7;1
1;3;1;56;3;3;3;7;7;0
1;4;1;37;4;3;3;6;5;0
0;4;2;60;2;2;6;6;6;1
0;4;2;37;8;4;5;5;5;1
1;4;2;57;4;2;4;6;6;1
0;0;1;60;1;1;7;1;7;0
0;1;1;56;2;3;7;7;6;0
0;4;2;59;2;3;6;6;6;1
1;2;1;59;5;4;1;7;4;0
0;5;1;42;8;3;7;7;7;0
0;4;1;37;2;2;5;1;6;0
1;4;1;66;4;4;4;7;7;0
1;2;1;63;1;2;1;4;7;0
0;4;2;32;7;4;3;1;3;1
0;3;1;59;3;4;4;7;7;0
0;4;2;38;6;4;4;4;4;1
0;4;2;72;2;2;5;5;6;1
1;5;1;54;4;1;1;7;7;0
1;1;2;74;1;2;1;7;7;1
0;0;2;73;2;3;4;7;7;1
0;2;2;59;2;4;5;7;7;1
0;5;1;38;4;3;3;5;7;0
0;5;1;78;3;2;4;4;4;0
1;1;1;61;5;3;1;7;7;0
0;4;2;69;4;3;4;6;6;1
1;4;2;68;5;3;5;1;1;1
0;5;2;63;4;2;5;2;3;1
0;4;2;58;2;3;6;2;5;1
0;3;1;77;4;3;3;1;4;0
0;3;2;71;4;4;6;5;5;1
1;4;2;47;4;3;2;1;5;1
0;3;1;34;3;3;4;1;4;0
1;1;2;51;3;2;1;7;7;1
1;5;1;68;4;3;4;5;7;0
0;4;2;60;3;3;6;6;7;1
0;5;1;71;3;3;6;3;6;0
0;4;1;48;7;3;5;3;4;0
1;5;2;72;2;2;2;7;6;1
1;2;1;68;2;4;2;7;5;0
1;4;1;77;4;3;2;5;6;0
0;4;2;58;5;1;6;3;6;1
1;4;1;47;7;3;5;6;6;0
1;2;2;40;6;3;4;7;7;1
1;1;2;66;1;3;4;5;7;1
1;4;1;72;3;2;2;7;7;0
0;4;1;77;3;3;5;5;7;0
0;3;1;68;1;4;1;1;6;0
0;3;1;54;2;2;6;7;6;0
0;4;2;36;6;3;4;6;6;1
1;2;1;64;1;4;1;7;7;0
1;5;1;43;6;3;1;7;5;0
1;2;2;65;3;3;1;6;6;1
0;4;2;51;7;4;4;6;6;1
1;3;1;75;2;2;1;7;7;0
0;0;1;66;1;4;6;1;1;0
1;3;1;64;4;2;3;5;7;0
1;3;2;53;5;3;1;1;4;1
1;4;1;51;3;3;3;7;6;0
0;4;2;37;3;4;1;7;7;1
1;2;2;45;4;1;1;7;7;1
0;4;2;62;2;2;4;1;4;1
0;4;2;67;4;3;5;5;5;1
0;5;2;40;3;3;6;6;7;1
1;0;1;61;1;2;4;7;7;0
0;4;1;61;1;2;5;5;5;0
1;2;2;48;4;2;1;7;7;1
1;2;1;57;4;2;3;7;5;0
0;4;1;32;5;4;5;6;6;0
0;4;1;44;8;5;5;6;6;0
0;4;2;53;8;4;4;6;6;1
1;5;1;28;5;3;6;6;6;0
1;4;1;65;4;4;3;5;6;0
0;4;1;37;6;3;6;6;6;0
0;0;1;72;4;2;6;1;6;0
0;4;1;63;5;3;4;7;4;0
0;4;2;51;4;1;6;6;6;1
0;1;2;64;2;3;2;4;5;1
0;4;1;43;3;3;6;4;4;0
0;4;2;69;2;2;7;4;2;1
1;3;1;32;5;3;5;4;5;0
1;2;2;70;4;2;3;7;7;1
0;4;2;53;3;3;7;7;7;1
1;2;2;65;5;2;2;7;7;1
1;3;2;62;4;1;3;7;7;1
0;3;1;64;6;3;5;2;6;0
0;3;2;68;4;4;7;7;7;1
1;4;1;39;7;4;1;1;1;0
0;4;2;31;4;3;3;7;7;1
1;4;1;56;3;2;1;5;7;0
0;4;2;48;3;2;7;7;7;1
1;0;2;57;2;3;4;7;7;1
0;4;2;61;4;3;7;7;7;1
1;3;1;55;6;3;3;7;7;0
0;4;2;35;7;5;5;6;6;1
0;1;1;51;4;3;4;6;5;0
0;4;1;54;2;3;5;5;5;0
0;2;1;56;5;2;6;6;6;0
0;5;2;36;4;3;6;4;5;1
1;2;2;71;2;3;5;7;7;1
1;2;2;58;2;4;2;7;7;1
0;2;2;58;4;3;6;6;6;1
1;3;2;53;2;4;6;7;7;1
0;5;1;48;7;3;5;1;3;0
1;2;1;43;4;3;1;7;5;0
0;5;1;69;4;3;6;5;4;0
0;5;1;44;4;2;7;1;1;0
0;4;1;56;6;4;7;7;7;0
1;4;1;60;5;3;4;6;5;0
1;4;1;57;7;3;2;7;7;0
1;5;2;59;7;4;4;7;6;1
0;3;1;61;4;3;7;5;7;0
0;4;1;58;7;2;3;1;7;0
0;4;1;62;8;4;6;6;6;0
0;3;2;51;5;4;5;2;5;1
1;4;1;55;5;3;4;6;6;0
0;4;2;62;4;2;6;2;4;1
0;4;1;43;8;5;5;5;5;0
0;3;1;58;7;2;6;4;5;0
0;4;2;48;7;2;7;7;7;1
0;5;1;57;6;3;5;7;7;0
1;4;1;62;8;3;1;7;7;0
1;2;1;71;5;2;1;7;7;0
1;5;2;41;4;3;2;7;4;1
0;4;1;45;4;3;5;3;6;0
1;4;1;47;7;3;1;5;7;0
1;4;1;64;6;5;1;7;7;0
0;4;2;46;6;2;3;1;7;1
0;4;1;61;7;1;5;4;5;0
1;4;1;63;6;3;2;6;6;0
1;4;1;61;4;3;2;7;7;0
0;4;1;58;6;3;6;5;6;0
0;4;1;65;6;3;5;4;4;0
1;5;1;61;6;2;6;4;6;0
0;4;1;56;7;3;5;1;1;0
0;5;2;70;5;3;7;4;3;1
